Alg,N,Time(sec),GFLOPS
jki,1200,2.29,1.51
kij,1200,1.02,3.40
kji,1200,2.29,1.51
i2kj,1200,0.58,6.00
ik2j,1200,0.55,6.33
ikj2,1200,0.74,4.68
k2ij,1200,0.52,6.70
ki2j,1200,0.76,4.52
kij2,1200,0.76,4.54
ik4j,1200,0.53,6.50
ik8j,1200,0.53,6.56
ik16j,1200,0.55,6.25
ijk_block2,1200,1.01,3.43
ijk_block4,1200,1.01,3.41
ijk_block5,1200,1.26,2.74
ijk_block10,1200,0.92,3.76
ijk_block20,1200,0.97,3.56
ijk_block50,1200,1.24,2.78
ikj_block2,1200,1.07,3.22
ikj_block4,1200,1.43,2.41
ikj_block5,1200,1.12,3.09
ikj_block10,1200,0.74,4.70
ikj_block20,1200,0.71,4.87
ikj_block50,1200,1.01,3.42
k4ij,1200,0.51,6.83
k8ij,1200,0.50,6.90
k16ij,1200,0.53,6.55
ijk,1300,2.53,1.74
ikj,1300,0.95,4.61
jik,1300,2.49,1.76
jki,1300,2.91,1.51
kij,1300,1.30,3.39
kji,1300,2.91,1.51
i2kj,1300,0.73,6.00
ik2j,1300,0.68,6.41
ikj2,1300,0.94,4.68
k2ij,1300,0.67,6.57
ki2j,1300,0.97,4.53
kij2,1300,0.97,4.55
ik4j,1300,0.67,6.54
ik8j,1300,0.67,6.57
ik16j,1300,0.71,6.19
ijk_block2,1300,1.28,3.44
ijk_block4,1300,1.29,3.41
ijk_block5,1300,1.69,2.60
ijk_block10,1300,1.23,3.57
ijk_block20,1300,1.31,3.36
ijk_block50,1300,1.58,2.78
ikj_block2,1300,1.36,3.23
ikj_block4,1300,1.82,2.41
ikj_block5,1300,1.43,3.08
ikj_block10,1300,0.94,4.67
ikj_block20,1300,0.90,4.87
ikj_block50,1300,1.29,3.41
k4ij,1300,0.64,6.87
k8ij,1300,0.64,6.87
k16ij,1300,0.67,6.54
ijk,1400,3.17,1.73
ikj,1400,1.17,4.69
jik,1400,3.12,1.76
jki,1400,3.63,1.51
kij,1400,1.61,3.40
kji,1400,3.64,1.51
i2kj,1400,0.92,5.94
ik2j,1400,0.85,6.48
