Alg,N,Time(sec),GFLOPS
ijk_block10,1500,2.56,2.64
ijk_block20,1500,2.07,3.26
ikj_block5,1500,2.16,3.12
ikj_block10,1500,2.17,3.10
ikj_block20,1500,2.11,3.20
ijk_block5,1600,3.49,2.35
ijk_block10,1600,3.32,2.47
ijk_block20,1600,2.53,3.23
ikj_block5,1600,2.63,3.12
ikj_block10,1600,2.63,3.11
ikj_block20,1600,2.56,3.20
ijk_block5,1700,3.80,2.59
ijk_block10,1700,3.99,2.46
ijk_block20,1700,3.06,3.21
ikj_block5,1700,3.16,3.11
ikj_block10,1700,3.16,3.11
ikj_block20,1700,3.07,3.20
ijk_block5,1800,4.84,2.41
ijk_block10,1800,4.76,2.45
ijk_block20,1800,3.59,3.25
ikj_block5,1800,3.74,3.11
ikj_block10,1800,3.76,3.10
ikj_block20,1800,3.66,3.19
ijk_block5,1900,6.03,2.28
ijk_block10,1900,5.69,2.41
ijk_block20,1900,4.26,3.22
ikj_block5,1900,4.41,3.11
ikj_block10,1900,4.42,3.11
ikj_block20,1900,4.29,3.20
ijk_block5,2000,8.07,1.98
ijk_block10,2000,6.68,2.40
ijk_block20,2000,4.97,3.22
ikj_block5,2000,5.15,3.10
ikj_block10,2000,5.16,3.10
ikj_block20,2000,5.01,3.20
ijk_block5,2100,9.39,1.97
ijk_block10,2100,7.74,2.39
ijk_block20,2100,5.76,3.22
ikj_block5,2100,5.97,3.10
ikj_block10,2100,5.96,3.11
ikj_block20,2100,5.80,3.20
ijk_block5,2200,10.56,2.02
ijk_block10,2200,8.91,2.39
ijk_block20,2200,6.63,3.21
ikj_block5,2200,6.85,3.11
ikj_block10,2200,6.87,3.10
ikj_block20,2200,6.68,3.19
ijk_block5,2300,12.22,1.99
ijk_block10,2300,10.19,2.39
ijk_block20,2300,7.59,3.21
ikj_block5,2300,7.83,3.11
ikj_block10,2300,7.84,3.10
ikj_block20,2300,7.61,3.20
ijk_block5,2400,13.93,1.98
ijk_block10,2400,11.66,2.37
ijk_block20,2400,8.61,3.21
ikj_block5,2400,8.92,3.10
ikj_block10,2400,8.90,3.11
ikj_block20,2400,8.67,3.19
ijk_block5,2500,15.73,1.99
ijk_block10,2500,13.11,2.38
ijk_block20,2500,9.77,3.20
ikj_block5,2500,10.05,3.11
ikj_block10,2500,10.04,3.11
ikj_block20,2500,9.77,3.20
ijk_block50,200,0.00,3.20
ikj_block50,200,0.01,3.20
ijk_block50,300,0.02,2.84
ikj_block50,300,0.02,3.38
ijk_block50,400,0.04,2.91
ikj_block50,400,0.04,3.37
ijk_block50,500,0.09,2.84
ikj_block50,500,0.09,2.91
ijk_block50,600,0.15,2.88
ikj_block50,600,0.13,3.30
ijk_block50,700,0.24,2.86
ikj_block50,700,0.20,3.36
ijk_block50,800,0.36,2.81
ikj_block50,800,0.30,3.37
ijk_block50,900,0.52,2.83
ikj_block50,900,0.44,3.34
ijk_block50,1000,0.71,2.81
ikj_block50,1000,0.60,3.36
ijk_block50,1100,0.96,2.78
ikj_block50,1100,0.79,3.35
ijk_block50,1200,1.24,2.78
ikj_block50,1200,1.03,3.34
ijk_block50,1300,1.58,2.77
ikj_block50,1300,1.31,3.35
ijk_block50,1400,1.98,2.77
ikj_block50,1400,1.64,3.34
ijk_block50,1500,2.44,2.77
ikj_block50,1500,2.03,3.32
ijk_block50,1600,2.96,2.77
ikj_block50,1600,2.48,3.31
ijk_block50,1700,3.55,2.77
ikj_block50,1700,2.98,3.30
ijk_block50,1800,4.23,2.76
ikj_block50,1800,3.54,3.29
ijk_block50,1900,4.97,2.76
ikj_block50,1900,4.17,3.29
ijk_block50,2000,5.80,2.76
ikj_block50,2000,4.86,3.29
ijk_block50,2100,6.70,2.76
ikj_block50,2100,5.62,3.29
ijk_block50,2200,7.71,2.76
ikj_block50,2200,6.46,3.30
ijk_block50,2300,8.81,2.76
ikj_block50,2300,7.39,3.29
ijk_block50,2400,10.04,2.75
ikj_block50,2400,8.41,3.29
ijk_block50,2500,11.35,2.75
ikj_block50,2500,9.50,3.29
ijk,2500,34.33,0.91
ikj,2500,9.34,3.35
jik,2500,19.62,1.59
jki,2500,35.53,0.88
kij,2500,11.77,2.65
kji,2500,37.53,0.83
i2kj,2500,7.17,4.36
ikj2,2500,9.17,3.41
ki2j,2500,8.65,3.61
kij2,2500,10.58,2.95
ijk_block2,2500,9.57,3.26
ijk_block4,2500,12.72,2.46
ikj_block2,2500,9.65,3.24
ikj_block4,2500,8.89,3.51
ik8j,200,0.00,8.01
ik16j,200,0.00,5.34
k8ij,200,0.00,5.33
k16ij,200,0.00,5.34
ik10j,200,0.00,8.00
k10ij,200,0.00,5.33
ik8j,300,0.01,6.75
ik16j,300,0.01,6.00
k8ij,300,0.01,6.75
k16ij,300,0.01,6.00
ik10j,300,0.01,6.75
k10ij,300,0.01,6.75
ik8j,400,0.02,6.40
ik16j,400,0.02,6.10
k8ij,400,0.02,6.74
k16ij,400,0.02,6.40
ik10j,400,0.02,6.40
k10ij,400,0.02,6.74
ik8j,500,0.04,6.10
ik16j,500,0.04,5.95
k8ij,500,0.04,6.76
k16ij,500,0.04,6.41
ik10j,500,0.04,6.10
k10ij,500,0.04,6.94
ik8j,600,0.07,6.26
ik16j,600,0.07,6.00
k8ij,600,0.06,6.75
k16ij,600,0.07,6.35
ik10j,600,0.07,6.26
k10ij,600,0.06,6.86
ik8j,700,0.11,6.29
ik16j,700,0.11,6.02
k8ij,700,0.10,6.79
k16ij,700,0.11,6.41
ik10j,700,0.11,6.35
k10ij,700,0.10,6.79
ik8j,800,0.16,6.28
ik16j,800,0.17,6.17
k8ij,800,0.15,6.78
k16ij,800,0.16,6.48
ik10j,800,0.16,6.40
k10ij,800,0.15,6.83
ik8j,900,0.23,6.42
ik16j,900,0.24,6.18
k8ij,900,0.21,6.78
k16ij,900,0.23,6.45
ik10j,900,0.23,6.39
k10ij,900,0.21,6.81
ik8j,1000,0.31,6.49
ik16j,1000,0.32,6.19
k8ij,1000,0.29,6.83
k16ij,1000,0.31,6.43
ik10j,1000,0.31,6.52
k10ij,1000,0.29,6.78
ik8j,1100,0.41,6.49
ik16j,1100,0.43,6.19
k8ij,1100,0.39,6.79
k16ij,1100,0.42,6.40
ik10j,1100,0.41,6.49
k10ij,1100,0.39,6.77
ik8j,1200,0.53,6.55
ik16j,1200,0.55,6.31
k8ij,1200,0.52,6.67
k16ij,1200,0.54,6.34
ik10j,1200,0.53,6.55
k10ij,1200,0.50,6.84
ik8j,1300,0.67,6.54
ik16j,1300,0.70,6.30
k8ij,1300,0.65,6.80
k16ij,1300,0.68,6.41
ik10j,1300,0.67,6.59
k10ij,1300,0.64,6.83
ik8j,1400,0.83,6.58
ik16j,1400,0.87,6.31
k8ij,1400,0.81,6.76
k16ij,1400,0.85,6.42
ik10j,1400,0.83,6.60
k10ij,1400,0.81,6.80
ik8j,1500,1.03,6.57
ik16j,1500,1.08,6.27
k8ij,1500,1.00,6.72
k16ij,1500,1.05,6.41
ik10j,1500,1.02,6.62
k10ij,1500,0.99,6.78
ik8j,1600,1.24,6.61
ik16j,1600,1.29,6.37
k8ij,1600,1.22,6.69
k16ij,1600,1.28,6.42
ik10j,1600,1.24,6.61
k10ij,1600,1.20,6.80
ik8j,1700,1.50,6.54
ik16j,1700,1.55,6.35
k8ij,1700,1.46,6.73
k16ij,1700,1.53,6.41
ik10j,1700,1.48,6.65
k10ij,1700,1.45,6.77
ik8j,1800,1.77,6.57
ik16j,1800,1.85,6.31
k8ij,1800,1.76,6.64
k16ij,1800,1.82,6.39
ik10j,1800,1.78,6.57
k10ij,1800,1.72,6.77
ik8j,1900,2.11,6.51
ik16j,1900,2.19,6.27
k8ij,1900,2.08,6.59
k16ij,1900,2.16,6.36
ik10j,1900,2.13,6.44
k10ij,1900,2.05,6.68
ik8j,2000,2.45,6.54
ik16j,2000,2.58,6.19
k8ij,2000,2.42,6.61
k16ij,2000,2.51,6.36
ik10j,2000,2.52,6.35
k10ij,2000,2.40,6.67
ik8j,2100,2.92,6.35
ik16j,2100,3.03,6.11
k8ij,2100,2.82,6.57
k16ij,2100,2.90,6.39
ik10j,2100,2.89,6.41
k10ij,2100,2.78,6.65
ik8j,2200,3.44,6.19
ik16j,2200,3.46,6.15
k8ij,2200,3.26,6.53
k16ij,2200,3.35,6.36
ik10j,2200,3.46,6.16
k10ij,2200,3.21,6.64
ik8j,2300,4.63,5.25
ik16j,2300,4.20,5.79
k8ij,2300,3.71,6.56
k16ij,2300,3.82,6.37
ik10j,2300,4.36,5.58
k10ij,2300,3.64,6.69
ik8j,2400,5.27,5.25
ik16j,2400,5.15,5.37
k8ij,2400,4.19,6.59
k16ij,2400,4.29,6.45
ik10j,2400,5.36,5.16
k10ij,2400,4.11,6.72
ik8j,2500,6.08,5.14
ik16j,2500,5.88,5.31
k8ij,2500,4.74,6.59
k16ij,2500,4.85,6.44
ik10j,2500,6.02,5.19
k10ij,2500,4.64,6.74
ik2j,200,0.00,5.34
k2ij,200,0.00,5.33
ik4j,200,0.00,8.00
k4ij,200,0.00,5.33
ik20j,200,0.00,8.00
k20ij,200,0.00,5.33
ik2j,300,0.01,6.75
k2ij,300,0.01,6.75
ik4j,300,0.01,6.75
k4ij,300,0.01,6.75
ik20j,300,0.01,6.00
k20ij,300,0.01,4.91
ik2j,400,0.02,5.57
k2ij,400,0.02,6.40
ik4j,400,0.02,6.40
k4ij,400,0.02,6.74
ik20j,400,0.02,5.57
k20ij,400,0.02,5.57
ik2j,500,0.04,5.56
k2ij,500,0.04,6.25
ik4j,500,0.04,5.95
k4ij,500,0.04,6.76
ik20j,500,0.05,5.10
k20ij,500,0.05,5.21
ik2j,600,0.08,5.61
k2ij,600,0.07,6.35
ik4j,600,0.07,6.08
k4ij,600,0.06,6.75
ik20j,600,0.08,5.47
k20ij,600,0.08,5.47
ik2j,700,0.12,5.76
k2ij,700,0.11,6.41
ik4j,700,0.11,6.18
k4ij,700,0.10,6.73
ik20j,700,0.13,5.08
k20ij,700,0.13,5.28
ik2j,800,0.18,5.82
k2ij,800,0.16,6.48
ik4j,800,0.16,6.28
k4ij,800,0.15,6.74
ik20j,800,0.18,5.60
k20ij,800,0.19,5.48
ik2j,900,0.25,5.90
k2ij,900,0.22,6.57
ik4j,900,0.23,6.34
k4ij,900,0.21,6.81
ik20j,900,0.26,5.61
k20ij,900,0.27,5.46
ik2j,1000,0.33,5.97
k2ij,1000,0.30,6.58
ik4j,1000,0.31,6.39
k4ij,1000,0.29,6.80
ik20j,1000,0.36,5.57
k20ij,1000,0.37,5.46
ik2j,1100,0.44,6.01
k2ij,1100,0.40,6.61
ik4j,1100,0.41,6.41
k4ij,1100,0.39,6.81
ik20j,1100,0.47,5.65
k20ij,1100,0.49,5.47
ik2j,1200,0.57,6.04
k2ij,1200,0.52,6.62
ik4j,1200,0.54,6.41
k4ij,1200,0.51,6.80
ik20j,1200,0.61,5.66
k20ij,1200,0.64,5.43
ik2j,1300,0.72,6.06
k2ij,1300,0.66,6.62
ik4j,1300,0.68,6.41
k4ij,1300,0.65,6.76
ik20j,1300,0.78,5.65
k20ij,1300,0.81,5.43
ik2j,1400,0.90,6.10
k2ij,1400,0.84,6.55
ik4j,1400,0.86,6.41
k4ij,1400,0.81,6.78
ik20j,1400,0.97,5.68
k20ij,1400,1.01,5.42
ik2j,1500,1.10,6.12
k2ij,1500,1.03,6.57
ik4j,1500,1.05,6.42
k4ij,1500,1.00,6.76
ik20j,1500,1.19,5.69
k20ij,1500,1.24,5.43
ik2j,1600,1.34,6.13
k2ij,1600,1.25,6.55
ik4j,1600,1.27,6.43
k4ij,1600,1.22,6.74
ik20j,1600,1.44,5.70
k20ij,1600,1.51,5.41
ik2j,1700,1.65,5.96
k2ij,1700,1.59,6.20
ik4j,1700,1.54,6.38
k4ij,1700,1.47,6.68
ik20j,1700,1.72,5.71
k20ij,1700,1.81,5.43
ik2j,1800,1.94,6.03
k2ij,1800,1.85,6.30
ik4j,1800,1.82,6.41
k4ij,1800,1.78,6.57
ik20j,1800,2.05,5.70
k20ij,1800,2.15,5.43
ik2j,1900,2.38,5.76
k2ij,1900,2.24,6.12
ik4j,1900,2.17,6.32
k4ij,1900,2.16,6.34
ik20j,1900,2.41,5.70
k20ij,1900,2.52,5.44
ik2j,2000,3.08,5.19
k2ij,2000,2.78,5.75
ik4j,2000,2.65,6.04
k4ij,2000,2.55,6.28
ik20j,2000,2.82,5.68
k20ij,2000,2.94,5.44
ik2j,2100,3.69,5.02
k2ij,2100,3.50,5.29
ik4j,2100,3.34,5.54
k4ij,2100,3.06,6.06
ik20j,2100,3.30,5.61
k20ij,2100,3.41,5.44
ik2j,2200,4.75,4.48
k2ij,2200,4.50,4.73
ik4j,2200,3.90,5.46
k4ij,2200,3.55,6.00
ik20j,2200,3.84,5.55
k20ij,2200,3.92,5.43
ik2j,2300,5.82,4.18
k2ij,2300,5.13,4.75
ik4j,2300,4.91,4.95
k4ij,2300,4.06,5.99
ik20j,2300,4.55,5.35
k20ij,2300,4.46,5.45
ik2j,2400,6.68,4.14
k2ij,2400,6.01,4.60
ik4j,2400,5.91,4.68
k4ij,2400,4.64,5.96
ik20j,2400,5.21,5.30
k20ij,2400,5.06,5.46
ik2j,2500,7.46,4.19
k2ij,2500,6.69,4.67
ik4j,2500,6.92,4.52
k4ij,2500,5.11,6.12
ik20j,2500,5.88,5.31
k20ij,2500,5.71,5.48
fastest,200,0.00,27.49
fastest,300,0.00,55.10
fastest,400,0.00,57.27
fastest,500,0.00,69.79
fastest,600,0.01,65.27
fastest,700,0.01,69.68
fastest,800,0.02,67.63
fastest,900,0.02,65.73
fastest,1000,0.03,71.27
fastest,1100,0.04,62.72
fastest,1200,0.05,63.92
fastest,1300,0.06,69.60
fastest,1400,0.08,72.27
fastest,1500,0.10,67.79
fastest,1600,0.11,72.53
fastest,1700,0.14,71.01
fastest,1800,0.17,70.23
fastest,1900,0.19,71.57
fastest,2000,0.23,70.60
fastest,2100,0.26,71.45
fastest,2200,0.30,70.56
fastest,2300,0.35,69.38
fastest,2400,0.39,70.80
fastest,2500,0.44,70.81
optimized_k10ij,200,0.00,inf
optimized_k10ij,300,0.00,26.95
optimized_k10ij,400,0.01,21.34
optimized_k10ij,500,0.01,22.73
optimized_k10ij,600,0.02,19.66
optimized_k10ij,700,0.04,19.06
optimized_k10ij,800,0.05,18.96
optimized_k10ij,900,0.08,19.18
optimized_k10ij,1000,0.10,19.23
optimized_k10ij,1100,0.14,19.15
optimized_k10ij,1200,0.18,19.31
